"dcode","population48","population49","population50","population51","population52","population53","population54","population55","population56","population57","population58","population59","population60","population61"
"1001","67357","65835","64356","62966","61374","60313","58771","57831","56684","55373","54195","52522","0","50382"
"1002","121336","119927","117867","116742","114488","111496","108815","107969","106811","104394","103230","98450","0","94854"
"1003","126126","133415","138667","143675","147668","151292","154371","157224","159962","162598","164494","167844","0","172990"
"1004","50023","49730","49124","48506","47503","47053","46087","46112","46114","46472","46606","47308","0","48207"
"1005","178986","181390","182335","183836","185901","188164","188252","189737","190544","190659","190528","190828","0","191323"
"1006","149093","149860","150139","150286","150166","149606","148645","148491","52613","51557","149070","148392","0","146841"
"1007","63192","62102","61040","60275","58858","57368","54996","53912","50092","49280","50852","49594","0","48382"
"1008","60001","58768","57461","56464","54601","53526","52093","50930","149056","148964","48615","47450","0","45701"
"1009","98564","98096","98496","97794","96880","95661","94482","93461","92774","92448","92206","91305","0","89237"
"1010","118019","122825","127727","131035","133149","135032","136236","137295","138661","139771","140335","141214","0","142311"
"1011","138327","142460","144800","147482","152528","157477","160850","163317","165724","168309","169517","171933","0","175662"
"1012","88556","88383","88061","87386","85789","84286","82481","81529","81162","80843","80381","79574","0","78031"
"1013","31674","31142","30646","30088","29283","28617","28001","27426","26932","26359","25863","24785","0","23655"
"1014","77232","77343","77202","76477","75493","74693","73533","73084","72495","72203","72283","72102","0","70341"
"1015","136971","134589","132034","129662","126883","124499","121539","119643","117536","115330","113622","111027","0","107754"
"1016","81727","80863","79637","78307","76608","75621","73864","72241","71087","70003","69543","67887","0","67211"
"1017","76213","76402","77033","76948","76987","77292","77720","78207","78943","80002","80549","81190","0","81689"
"1018","87853","86163","84821","82824","80894","79546","77471","76353","75765","75224","74836","73871","0","72171"
"1019","105730","106811","107812","107513","106963","106753","106786","106532","106192","105857","105585","105289","0","105047"
"1020","133669","132394","130540","129401","126823","124352","120032","117950","117503","116653","115479","112581","0","110417"
"1021","132313","137934","141698","145294","150492","155821","161642","165693","169614","173144","175829","179768","0","183878"
"1022","136240","135149","134407","133622","132670","131363","130493","129800","129559","129238","128581","127582","0","125981"
"1023","128493","131344","135554","139585","142772","145361","148298","150285","151877","153175","154018","155229","0","156267"
"1024","94097","93548","92929","92094","90559","89297","87841","86643","85825","84881","84256","83248","0","81806"
"1025","108597","107139","105347","103852","102320","101276","100319","99153","98113","96787","95829","93771","0","91278"
"1026","146031","144461","141765","139322","136696","134480","131847","130202","128838","127260","126191","123966","0","120761"
"1027","138501","140580","145172","147466","147712","147030","146197","145795","145822","145514","144951","144449","0","142990"
"1028","95089","93808","92021","90937","89294","88179","86214","85048","83898","82432","81877","80497","0","78860"
"1029","151788","150547","147797","145671","142338","138653","135001","132169","130511","128995","127961","126136","0","125299"
"1030","169113","167837","166581","165438","164210","162838","161409","160853","160948","160366","159642","158130","0","155923"
"1031","105685","104479","103391","101862","99994","98870","96422","94877","93508","92273","91574","90377","0","88288"
"1032","142633","146401","149883","152669","155077","156567","158457","160816","163485","166364","168369","172761","0","178290"
"1033","122919","121504","119909","118412","114694","112906","110481","109001","108066","107221","106467","104211","0","101543"
"1034","115120","115490","116293","116067","115883","115966","115419","115731","116688","118371","119794","121740","0","123026"
"1035","167175","166377","165070","163846","162151","160451","158646","157970","157156","156030","155106","153668","0","151174"
"1036","159506","161600","163080","164570","165433","166354","166210","166635","167827","168197","169255","168896","0","169259"
"1037","99827","98601","97747","78147","77078","76233","72900","73280","73550","73790","73860","72436","0","71952"
"1038","117711","119168","120417","121366","122371","122520","122180","122152","82637","83520","121943","121000","0","119709"
"1039","80121","80596","80744","81053","80674","80929","80847","81755","122441","122196","83982","84528","0","85642"
"1040","189257","191521","192597","193449","193478","193190","192276","191781","192119","191966","192151","192413","0","193315"
"1041","116713","116922","116055","115518","114180","112908","111120","109858","109049","107797","106935","105588","0","104577"
"1042","165491","169109","173076","176376","178637","183333","185987","188163","191536","194511","197063","200374","0","204532"
"1043","84080","84562","85027","85586","85912","86340","87169","88471","90437","92094","93051","95369","0","97187"
"1044","83147","84934","86043","87082","88013","88578","88918","89895","91358","92735","93554","94982","0","95836"
"1045","114132","114950","114984","115685","115713","115697","115083","114748","114805","114245","113718","112849","0","111293"
"1046","132172","138962","144423","149776","154766","160480","165352","169729","174197","178958","182974","189507","0","198019"
"1047","101667","101695","101360","100474","99561","98869","97039","95855","95204","94315","93645","92023","0","90148"
"1048","66354","68423","70196","72026","73428","74592","75460","76274","76787","77121","77483","77890","0","78394"
"1049","107609","110469","111621","113008","114180","115131","115823","116523","117662","119349","120318","120976","0","122296"
"1050","96723","99348","101263","102963","103470","104535","104768","105161","106085","107140","107371","107136","0","106919"
