,TAMBON_E,TAMBON_T,AMPHOE_E,AMPHOE_T,AM_ID,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
100101,Phraborom Maharatchawang,พระบรมมหาราชวัง,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.751,100.492
100102,Wang Burapha Phirom,วังบูรพาภิรมย์,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.744000000000002,100.499
100103,Wat Ratchabophit,วัดราชบพิธ,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.75,100.499
100104,Samran Rat,สำราญราษฎร์,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.751,100.50299999999999
100105,San Chaopho Suea,ศาลเจ้าพ่อเสือ,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.754000000000001,100.49700000000001
100106,Sao Chingcha,เสาชิงช้า,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.753,100.5
100107,Bowon Niwet,บวรนิเวศ,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.757,100.501
100108,Talat Yot,ตลาดยอด,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.76,100.49799999999999
100109,Chana Songkhram,ชนะสงคราม,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.762,100.495
100110,Ban Phan Thom,บ้านพานถม,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.762,100.50299999999999
100111,Bang Khun Phrom,บางขุนพรหม,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.765,100.505
100112,Wat Sam Phraya,วัดสามพระยา,Phra Nakhon,พระนคร,1001,10,กรุงเทพมหานคร,Bangkok,13.767999999999999,100.499
100201,Dusit,ดุสิต,Dusit,ดุสิต,1002,10,กรุงเทพมหานคร,Bangkok,13.772,100.51299999999999
100202,Wachira Phayaban,วชิรพยาบาล,Dusit,ดุสิต,1002,10,กรุงเทพมหานคร,Bangkok,13.777999999999999,100.505
100203,Suan Chitlada,สวนจิตรลดา,Dusit,ดุสิต,1002,10,กรุงเทพมหานคร,Bangkok,13.767000000000001,100.52
100204,Si Yaek Mahanak,สี่แยกมหานาค,Dusit,ดุสิต,1002,10,กรุงเทพมหานคร,Bangkok,13.758,100.51700000000001
100206,Thanon Nakhon Chaisi,ถนนนครไชยศรี,Dusit,ดุสิต,1002,10,กรุงเทพมหานคร,Bangkok,13.789000000000001,100.522
100301,Krathum Rai,กระทุ่มราย,Nong Chok,หนองจอก,1003,10,กรุงเทพมหานคร,Bangkok,13.823,100.897
100302,Nong Chok,หนองจอก,Nong Chok,หนองจอก,1003,10,กรุงเทพมหานคร,Bangkok,13.869000000000002,100.885
100303,Khlong Sip,คลองสิบ,Nong Chok,หนองจอก,1003,10,กรุงเทพมหานคร,Bangkok,13.914000000000001,100.82
100304,Khlong Sip Song,คลองสิบสอง,Nong Chok,หนองจอก,1003,10,กรุงเทพมหานคร,Bangkok,13.914000000000001,100.88
100305,Khok Faet,โคกแฝด,Nong Chok,หนองจอก,1003,10,กรุงเทพมหานคร,Bangkok,13.84,100.836
100306,Khu Fung Nuea,คู้ฝั่งเหนือ,Nong Chok,หนองจอก,1003,10,กรุงเทพมหานคร,Bangkok,13.872,100.81
100307,Lam Phak Chi,ลำผักชี,Nong Chok,หนองจอก,1003,10,กรุงเทพมหานคร,Bangkok,13.797,100.844
100308,Lam Toiting,ลำต้อยติ่ง,Nong Chok,หนองจอก,1003,10,กรุงเทพมหานคร,Bangkok,13.780999999999999,100.87700000000001
100401,Maha Phruettharam,มหาพฤฒาราม,Bang Rak,บางรัก,1004,10,กรุงเทพมหานคร,Bangkok,13.734000000000002,100.52
100402,Si Lom,สีลม,Bang Rak,บางรัก,1004,10,กรุงเทพมหานคร,Bangkok,13.73,100.525
100403,Suriyawong,สุริยวงศ์,Bang Rak,บางรัก,1004,10,กรุงเทพมหานคร,Bangkok,13.724,100.53
100404,Bang Rak,บางรัก,Bang Rak,บางรัก,1004,10,กรุงเทพมหานคร,Bangkok,13.727,100.527
100405,Si Phraya,สี่พระยา,Bang Rak,บางรัก,1004,10,กรุงเทพมหานคร,Bangkok,13.725,100.514
100502,Anusawari,อนุสาวรีย์,Bang Khen,บางเขน,1005,10,กรุงเทพมหานคร,Bangkok,13.868,100.60600000000001
100508,Tha Raeng,ท่าแร้ง,Bang Khen,บางเขน,1005,10,กรุงเทพมหานคร,Bangkok,13.866,100.65
100601,Khlong Chan,คลองจั่น,Bang Kapi,บางกะปิ,1006,10,กรุงเทพมหานคร,Bangkok,13.786,100.635
100608,Hua Mak,หัวหมาก,Bang Kapi,บางกะปิ,1006,10,กรุงเทพมหานคร,Bangkok,13.755999999999998,100.66
100701,Rong Mueang,รองเมือง,Pathum Wan,ปทุมวัน,1007,10,กรุงเทพมหานคร,Bangkok,13.744000000000002,100.52
100702,Wang Mai,วังใหม่,Pathum Wan,ปทุมวัน,1007,10,กรุงเทพมหานคร,Bangkok,13.742,100.52600000000001
